utteredby	name	fullname	id	address	descr	lat	lon	ialink
afor_av_carlo-candi_01	Fiumalbo		PL000112	Fiumalbo, Unione dei comuni del Frignano, MO, Emilia-Romagna, 41022, Italy		10.6477331	44.1799513	
afor_av_carlo-candi_01	O' spuntune		PL000170		a Santa Severina	NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Pista sportiva		PL000190		la Fratellanza	NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Pozzoleo		PL000197	Chiesetta del Pozzoleo / Santa Filomena, Discesa Pozzoleo, Santa Severina, KR, Calabria, 88832, Italy		16.91544565	39.1470277	
afor_av_carlo-candi_01	Sede		PL000226		OvestLab	NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Sibari		PL000229			NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Siberene		PL000230			NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Università		PL000250		a Firenze (attigua all'Accademia)	NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Via emilia		PL000265		luogo in cui si svolgeva la festa de l'Unità	NotAvailable	NotAvailable	
afor_av_carlo-candi_01	Via ricasoli		PL000273	via Ricasoli, firenze	a Firenze	11.2583332	43.7765114	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Corassori		PL000079			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Corni		PL000082			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Fiori		PL000110			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Mobili uniti		PL000156			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Silvestri		PL000233			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_01	Via san cataldo		PL000275	strada San Cataldo, modena		10.9071233	44.6547627	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	America		PL000011			-100.4458825	39.7837304	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Anzola		PL000006	anzola dell’emilia		11.194608	44.546367	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Caprari		PL000038	Via Emilia Ovest, 900, 41123 Modena MO		10.8802125	44.6563443	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Cifa		PL000059			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Cinema principe		PL000061	Piazza Natale Bruni, 41121 Modena MO		10.9338828866439	44.6514181	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Distributore		PL000091			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Erma		PL000095	Via Emilia Ovest, 910, 41123 Modena MO		10.8797523	44.6561538	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Ferramenta		PL000102			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Giappone		PL000285			139.2394179	36.5748441	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Malagoli		PL000141			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Masoni rinaldi		PL000146			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Mensa		PL000153			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Ottani		PL000172			NotAvailable	NotAvailable	
afor_av_ermanno-salvalai-e-alberto-salvalai_02	Pecorari		PL000186			NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Biblioteca		PL000024		in via de' Gavasseti - di fianco all'ex sede Mbm	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Cortile		PL000085		cortile della chiesa	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Oratorio		PL000171			NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Sala		PL000208		della parrocchia	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Sezione		PL000227		del PCI lungo via Emilio Po	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_02	Via emilio po		PL000266	via emilio po, modena		10.8996773	44.6499936	
afor_av_eugenio-ronchetti_02	Vietnam		PL000277	vietnam		108.4265113	13.2904027	
afor_av_eugenio-ronchetti_03	Centro civico		PL000054		sempre in via de' Gavasseti	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_05	Scuola elementare		PL000222		scuola Emilio Po	NotAvailable	NotAvailable	
afor_av_eugenio-ronchetti_05	Via de' gavasseti		PL000261	via de' Gavasseti, modena		10.9029844	44.6509088	
afor_av_eugenio-ronchetti_06	Tric e trac		PL000248	380, Via Leopoldo Nobili, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41126, Italy 		10.8875588	44.6487603	
afor_av_miriam-tirincanti_01	Asilo		PL000010	Via Giovanni Antonio Scacciera, Villaggio Artigiano, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy	al Villaggio -> intende scuole materne	10.9026111	44.6534738	
afor_av_miriam-tirincanti_01	Assisi		PL000013	Assisi, PG, Umbria, 06081, Italy		12.6146669	43.0711952	
afor_av_miriam-tirincanti_01	Buon pastore		PL000029		corsetteria in Buon Pastore	NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Carpi		PL000039	carpi, italy		10.8854523	44.7835699	
afor_av_miriam-tirincanti_01	Cognento		PL000068	Cognento, MO, Emilia-Romagna, 41123, Italy		10.8684742	44.6375948	
afor_av_miriam-tirincanti_01	Coop		PL000074		ex coop del Villaggio	NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Eurospar		PL000097		di fianco al cavalcavia della Madonnina	NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Falc		PL000100			NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Grandemilia		PL000126	Centro Commerciale GrandEmilia, Viale Catullo, Cittanova, San Faustino-Madonnina-Quattroville, Modena, MO, Emilia-Romagna, 41123, Italy 		10.854068767777	44.6484094	
afor_av_miriam-tirincanti_01	Lattaia		PL000133		sempre al villaggio	NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Nido		PL000166		asilo nido del Villaggio	NotAvailable	NotAvailable	
afor_av_miriam-tirincanti_01	Scuola		PL000220		del Villaggio (Emilio Po o le vecchie?)	NotAvailable	NotAvailable	
