from_id	to_id	to_lon	to_lat	from_lon	from_lat
	Via nobili	10.8998335	44.6479911	10.901417	44.65391
	Via prati	10.9037976	44.6500687	10.901417	44.65391
	Via rinaldi	10.9006431	44.6532794	10.901417	44.65391
	Madonna pellegrina	10.9247681192572	44.63401655	10.901417	44.65391
	Mantova	10.7917191	45.1566683	10.901417	44.65391
	Maserati	10.94015	44.6491283	10.901417	44.65391
	Morane	10.9348042	44.6152699	10.901417	44.65391
	Ovestlab	10.9011459	44.6543412	10.901417	44.65391
	Panini	10.8990901	44.6493163	10.901417	44.65391
	Sassuolo	10.7829023	44.5409769	10.901417	44.65391
afor_av_rita-ronchetti_01	Bologna	11.3430347	44.4936714	10.9011459	44.6543412
	Cile	-71.3187697	-31.7613365	10.9011459	44.6543412
	Dams	11.3390538601447	44.4911621	10.9011459	44.6543412
	Freto	10.8906262	44.6712409	10.9011459	44.6543412
	Gaiato	10.8406698	44.2910524	10.9011459	44.6543412
	Grecia	21.9877132	38.9953683	10.9011459	44.6543412
	Pontedera	10.6354851	43.6634536	10.9011459	44.6543412
	San carlo	10.9273017	44.645538	10.9011459	44.6543412
	Taizé	-0.1168552	46.924477	10.9011459	44.6543412
	Via corridore 50	10.8994668	44.6469515	10.9011459	44.6543412
	Via del pratello	11.3287167	44.4954124	10.9011459	44.6543412
	Parrocchia della madonnina	10.8987884	44.6566849	10.9011459	44.6543412
	Sala parrocchiale della madonnina	10.8987884	44.6566849	10.9011459	44.6543412
afor_av_sandro-vesce_01	Arcivescovado	10.9247818	44.6464014	10.901084	44.650861
	Canalchiaro	10.923256	44.6451911	10.901084	44.650861
	Fidenza	10.0611939	44.866522	10.901084	44.650861
	Gino nasi	10.9373816	44.6222428	10.901084	44.650861
	Torrazzi	10.963492	44.6606606	10.901084	44.650861
	Tre olmi	10.8734342621091	44.6674171	10.901084	44.650861
	Tre re	10.9233344	44.6437922	10.901084	44.650861
	Via del gambero	10.937508	44.6395163	10.901084	44.650861
	Maldive	73.3287853	4.7064352	10.901084	44.650861
	Parma	10.3280833	44.8013678	10.901084	44.650861
	Spezzano	10.8405827	44.5333423	10.901084	44.650861
afor_av_sandro-vesce_02	Cam	10.9013686	44.6542114	10.901773	44.654371
	Castelfranco	11.0529006	44.5950245	10.901773	44.654371
	Francia	1.8883335	46.603354	10.901773	44.654371
	Staggia	11.0526039	44.8028836	10.901773	44.654371
